epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,458.931,1.1313,1.08869,0.39487,1.29191,1.56059,0.94796,0.92893,0.9656,0.84256,0.94474,0.93621,0.96839,0.95968,0.65196,0.14268,0.0842,0.50225,1.1598,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722
2,834.13,0.6628,0.2206,0.16382,0.52042,1.1367,0.95972,0.95771,0.9807,0.86936,0.96222,0.96024,0.98228,0.97781,0.62939,0.09625,0.02107,0.45716,1.13039,0.0197838,0.00659461,0.0197838,0.00659461,0.0197838,0.00659461,0.0197838,0.00659461
3,1197.46,0.63594,0.17275,0.08985,0.45932,1.10638,0.96422,0.95499,0.98138,0.86932,0.96491,0.95849,0.98307,0.97734,0.63823,0.09157,0.01173,0.40618,1.16116,0.029388,0.009796,0.029388,0.009796,0.029388,0.009796,0.029388,0.009796
4,1469.15,0.60012,0.13712,0.06326,0.42055,1.07733,0.96936,0.96335,0.98409,0.87456,0.96888,0.96643,0.98546,0.98186,0.59122,0.06831,0.00682,0.3584,1.13942,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1709.88,0.54906,0.10331,0.04695,0.37917,1.04112,0.97273,0.96111,0.9842,0.88911,0.97399,0.96381,0.9857,0.98217,0.53148,0.05968,0.00494,0.32141,1.05989,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3244.88,0.5105,0.08767,0.03776,0.3467,1.01291,0.97978,0.9639,0.98522,0.89378,0.9804,0.96549,0.98635,0.98289,0.53476,0.05924,0.00416,0.36474,1.06082,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4300.19,0.48572,0.07846,0.03479,0.32978,0.99574,0.98484,0.97097,0.98968,0.90708,0.98548,0.97245,0.99042,0.98801,0.52456,0.04615,0.00429,0.2703,1.06346,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5677.07,0.47035,0.07224,0.03052,0.3151,0.9867,0.98349,0.97729,0.99052,0.90669,0.98481,0.97872,0.99145,0.989,0.45433,0.04442,0.00464,0.25536,1.01013,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6465.25,0.45216,0.06536,0.02784,0.30234,0.97277,0.98741,0.9757,0.99123,0.90925,0.98785,0.97616,0.99177,0.98976,0.47355,0.04678,0.00402,0.26174,1.0206,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6668.05,0.44329,0.06053,0.02475,0.29666,0.96938,0.98118,0.97323,0.98945,0.91024,0.98207,0.9741,0.99005,0.9879,0.48924,0.04418,0.00242,0.26656,1.02519,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6871.27,0.43213,0.05823,0.02338,0.28526,0.96175,0.98692,0.98056,0.99166,0.91794,0.98824,0.9819,0.99222,0.99046,0.46519,0.04157,0.00158,0.2399,1.0135,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,7075.84,0.42256,0.05513,0.02262,0.27925,0.95693,0.9916,0.97742,0.99188,0.91705,0.99205,0.97785,0.99244,0.99078,0.45758,0.04035,0.00228,0.24043,1.00961,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7277.01,0.41279,0.05144,0.02119,0.27119,0.95043,0.98665,0.98055,0.99191,0.92017,0.98744,0.9809,0.99234,0.99067,0.43392,0.03934,0.00182,0.2289,0.99717,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,7482.98,0.40632,0.04869,0.0199,0.26752,0.94815,0.99001,0.98108,0.99238,0.91948,0.99068,0.9822,0.99283,0.99101,0.40324,0.04069,0.00095,0.21767,0.98302,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7699.51,0.40265,0.04713,0.01887,0.26246,0.94774,0.98751,0.98285,0.99223,0.91512,0.98804,0.98349,0.99253,0.9911,0.47706,0.0378,0.00116,0.23449,1.01587,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7905.55,0.39556,0.04722,0.01792,0.25802,0.94458,0.98788,0.98462,0.99283,0.9184,0.98884,0.98556,0.9932,0.99139,0.45653,0.03867,0.00208,0.23559,1.01134,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,8072.45,0.38941,0.04472,0.01718,0.25594,0.94065,0.98987,0.98473,0.99242,0.92338,0.99049,0.98535,0.99274,0.99126,0.42993,0.03559,0.00088,0.22035,0.98964,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,8251.65,0.38584,0.04283,0.01537,0.25211,0.93652,0.99038,0.98378,0.99269,0.927,0.99111,0.98491,0.99316,0.99178,0.41693,0.03599,0.00087,0.21442,0.98358,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8427.25,0.38025,0.04193,0.01595,0.24647,0.93556,0.99122,0.98251,0.99274,0.92625,0.99004,0.98492,0.99305,0.9918,0.44478,0.03506,0.00079,0.22527,0.99611,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,8587.84,0.3746,0.04052,0.01628,0.24282,0.93341,0.99066,0.98457,0.99286,0.92531,0.99117,0.9853,0.9931,0.99195,0.42213,0.03503,0.00056,0.21306,0.98692,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8747.9,0.37285,0.03996,0.01483,0.24146,0.93189,0.99172,0.98718,0.99284,0.92835,0.99234,0.98823,0.99323,0.99196,0.40709,0.03481,0.00075,0.20409,0.98134,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8908.54,0.37007,0.03888,0.01468,0.2407,0.92899,0.99115,0.98535,0.99276,0.92921,0.99177,0.98596,0.99319,0.99182,0.40704,0.0346,0.00078,0.20541,0.98026,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9069.43,0.36647,0.0374,0.01424,0.23687,0.92841,0.98879,0.98657,0.99338,0.92611,0.98923,0.98701,0.99348,0.99252,0.40854,0.0331,0.00074,0.20238,0.98133,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9230.86,0.36464,0.03876,0.01417,0.23528,0.92708,0.99164,0.98742,0.99323,0.93048,0.9925,0.98779,0.99352,0.99243,0.39552,0.03308,0.00072,0.21426,0.97116,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9390.86,0.35955,0.03661,0.01285,0.22978,0.92298,0.99215,0.98677,0.99349,0.9254,0.99259,0.98753,0.99369,0.99264,0.4329,0.03319,0.00105,0.2046,0.98912,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9550.82,0.35919,0.03636,0.01346,0.22911,0.92596,0.99292,0.98701,0.99354,0.92615,0.99366,0.98764,0.99376,0.99277,0.4186,0.03324,0.00089,0.19915,0.98359,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9710.43,0.35484,0.03427,0.01276,0.22565,0.92011,0.99247,0.9864,0.99359,0.92936,0.993,0.98692,0.99383,0.99281,0.42603,0.03232,0.00078,0.20015,0.98584,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9870,0.35318,0.03334,0.01285,0.22814,0.92091,0.99277,0.98858,0.99368,0.93282,0.993,0.98936,0.99389,0.99309,0.40831,0.03119,0.00078,0.1956,0.97521,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10029.4,0.34933,0.03279,0.0117,0.2236,0.91982,0.99316,0.98631,0.99336,0.9306,0.99305,0.98744,0.99367,0.99265,0.40521,0.03078,0.0005,0.19268,0.97576,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10189.1,0.34697,0.03271,0.01244,0.22297,0.91799,0.99372,0.98647,0.99373,0.93125,0.9939,0.98762,0.99384,0.99297,0.41077,0.03148,0.00068,0.21528,0.97633,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10348.3,0.34607,0.03168,0.01105,0.22151,0.91678,0.99303,0.98666,0.99373,0.93282,0.99409,0.9877,0.99395,0.993,0.39046,0.03072,0.00063,0.19006,0.9705,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10507,0.34573,0.03178,0.01182,0.22057,0.91744,0.99269,0.9891,0.99383,0.93478,0.99264,0.9901,0.99398,0.99327,0.3937,0.03049,0.00076,0.18931,0.9702,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10666.4,0.33893,0.03094,0.0111,0.2151,0.91473,0.99362,0.98753,0.99351,0.93331,0.99365,0.98826,0.99367,0.99288,0.39632,0.03005,0.00075,0.19645,0.96959,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10825.5,0.33717,0.02928,0.01104,0.21595,0.9118,0.99114,0.98821,0.99334,0.93371,0.99161,0.9884,0.99367,0.99262,0.37931,0.03014,0.00053,0.18897,0.96519,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10984.8,0.33726,0.03031,0.01109,0.21648,0.91132,0.99337,0.98797,0.99375,0.93565,0.99372,0.98832,0.99386,0.99289,0.38504,0.02951,0.00061,0.18415,0.96635,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11143.6,0.33404,0.02959,0.01071,0.21364,0.91119,0.99431,0.98648,0.99373,0.93253,0.99484,0.98701,0.99395,0.99309,0.40201,0.02933,0.00063,0.18544,0.97352,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11301.9,0.33246,0.02879,0.01058,0.21222,0.90994,0.99275,0.9877,0.99353,0.93558,0.99311,0.98805,0.99366,0.9929,0.38115,0.02872,0.00051,0.18487,0.9638,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11461,0.33021,0.02876,0.00995,0.20899,0.9082,0.99375,0.98912,0.99382,0.93864,0.9941,0.98947,0.99398,0.9933,0.37581,0.02925,0.00051,0.18069,0.96344,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11619.9,0.32897,0.02842,0.00999,0.20877,0.90748,0.99237,0.98988,0.99393,0.93863,0.99359,0.9899,0.99402,0.99335,0.38297,0.02918,0.00055,0.17794,0.96733,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11778.4,0.32643,0.02738,0.00986,0.20886,0.90804,0.99418,0.98828,0.99381,0.93906,0.99442,0.98901,0.994,0.99331,0.37562,0.02933,0.00211,0.19649,0.95967,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11940.6,0.32779,0.02737,0.01001,0.2073,0.90916,0.9948,0.98822,0.99393,0.93705,0.99517,0.98945,0.99411,0.99339,0.36847,0.0282,0.00055,0.17513,0.96038,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12121.4,0.32269,0.02754,0.01041,0.2059,0.90709,0.99401,0.98904,0.99383,0.93971,0.99445,0.98947,0.9939,0.99335,0.37093,0.0286,0.00049,0.18647,0.95745,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12298.6,0.32193,0.02706,0.00941,0.20625,0.90578,0.99176,0.99038,0.99391,0.94081,0.9921,0.99076,0.99403,0.99345,0.36744,0.02778,0.00051,0.17549,0.95802,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12477.3,0.31956,0.02695,0.0096,0.20345,0.90474,0.99604,0.9877,0.99394,0.94107,0.9963,0.98797,0.99408,0.99352,0.36348,0.02776,0.00061,0.17825,0.95703,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12658.2,0.31977,0.02567,0.00909,0.20356,0.90366,0.99528,0.9891,0.99421,0.93954,0.99541,0.98962,0.99428,0.99365,0.36092,0.02839,0.00043,0.17287,0.95601,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12837.9,0.31463,0.02482,0.00872,0.19929,0.90235,0.9947,0.98954,0.99412,0.94026,0.99506,0.98988,0.99422,0.99359,0.36141,0.02704,0.00047,0.17282,0.9554,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13017.1,0.31593,0.0254,0.0091,0.19799,0.90186,0.99299,0.99025,0.99384,0.94107,0.99223,0.99181,0.99399,0.99343,0.35443,0.02691,0.00041,0.17346,0.95234,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13197.1,0.31028,0.02451,0.00966,0.1968,0.90213,0.99441,0.98962,0.99369,0.94064,0.99473,0.99015,0.99385,0.99324,0.35905,0.02675,0.00048,0.17095,0.95452,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13377.6,0.31049,0.02385,0.00859,0.19848,0.90111,0.99454,0.99012,0.99393,0.94115,0.9949,0.99047,0.99407,0.99356,0.35188,0.02663,0.00046,0.16593,0.95286,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13556.4,0.31062,0.02428,0.00917,0.19575,0.90026,0.99559,0.98967,0.99397,0.94174,0.99506,0.99084,0.99406,0.99353,0.35135,0.02656,0.0005,0.16438,0.95308,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13734.8,0.30949,0.02402,0.00889,0.19709,0.89979,0.99447,0.99119,0.99375,0.94072,0.99499,0.99144,0.99387,0.99326,0.3545,0.027,0.00045,0.16889,0.95386,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13911.2,0.30829,0.02321,0.00866,0.19617,0.89847,0.99522,0.99006,0.99389,0.94021,0.99557,0.9905,0.99398,0.99345,0.36456,0.02624,0.00044,0.17018,0.95653,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,14073.3,0.3058,0.02308,0.00855,0.19546,0.89926,0.99395,0.99099,0.99378,0.94125,0.99421,0.99125,0.99388,0.99334,0.35286,0.02612,0.00036,0.17052,0.95141,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14234.4,0.30529,0.02336,0.00888,0.19211,0.89847,0.99464,0.99049,0.9937,0.94177,0.99529,0.99015,0.99376,0.99317,0.35111,0.0263,0.00037,0.17154,0.95114,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14396.6,0.30417,0.02265,0.00853,0.19066,0.89757,0.99576,0.98977,0.99392,0.94287,0.9962,0.99021,0.99405,0.99352,0.34876,0.02604,0.00038,0.16302,0.95149,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14560.3,0.30126,0.02272,0.00855,0.19177,0.89657,0.99315,0.99233,0.99413,0.94245,0.99334,0.99268,0.9942,0.99364,0.35093,0.02597,0.00035,0.18872,0.94836,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14724.9,0.29916,0.02103,0.00787,0.18981,0.89566,0.99481,0.99096,0.994,0.94282,0.99517,0.9912,0.99413,0.99355,0.34971,0.02552,0.00043,0.16183,0.94945,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14889.5,0.29804,0.0217,0.00753,0.18816,0.89435,0.99457,0.99137,0.99399,0.94275,0.995,0.99193,0.9941,0.99356,0.34466,0.02559,0.00034,0.15992,0.94915,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,15056.6,0.29792,0.02078,0.00766,0.18901,0.89516,0.99452,0.99154,0.99408,0.94292,0.995,0.99172,0.99413,0.99368,0.34352,0.02567,0.00031,0.16008,0.94944,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,15221.7,0.29703,0.02074,0.0076,0.1894,0.89393,0.99534,0.9911,0.9939,0.9426,0.99587,0.99168,0.99405,0.99349,0.34346,0.02559,0.00037,0.15941,0.95007,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,15387.6,0.29259,0.02027,0.0076,0.18579,0.89136,0.9937,0.99198,0.99418,0.94477,0.99573,0.99119,0.9943,0.99379,0.33839,0.02513,0.00039,0.15734,0.94803,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,15552.5,0.29313,0.02048,0.00785,0.18597,0.8927,0.99443,0.99198,0.99418,0.9441,0.9946,0.99329,0.99425,0.99373,0.3422,0.02517,0.00034,0.15919,0.94931,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,15719.5,0.29278,0.0207,0.00786,0.18544,0.89268,0.99448,0.99189,0.99407,0.94513,0.99483,0.99253,0.99421,0.99375,0.33886,0.02497,0.00033,0.15834,0.94804,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15885.8,0.28875,0.02032,0.00718,0.18195,0.89173,0.99552,0.99136,0.99394,0.94505,0.995,0.99254,0.99412,0.9936,0.339,0.02504,0.00034,0.15585,0.94872,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,16051.5,0.28778,0.02006,0.00759,0.18402,0.88952,0.99552,0.992,0.99422,0.94531,0.99484,0.99341,0.99431,0.99387,0.3391,0.02467,0.00039,0.15579,0.94741,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,16214.7,0.28789,0.01997,0.00779,0.18376,0.88952,0.99465,0.99161,0.9942,0.94561,0.99497,0.99206,0.99433,0.99386,0.34416,0.02443,0.00033,0.15807,0.94806,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,16375.3,0.28556,0.01986,0.00719,0.18221,0.88864,0.99535,0.99111,0.99419,0.94556,0.99539,0.99172,0.9943,0.99383,0.34242,0.02443,0.00058,0.16136,0.94726,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,16535.4,0.28403,0.01918,0.00692,0.18041,0.88792,0.99643,0.99015,0.994,0.94614,0.995,0.99222,0.99406,0.99361,0.33469,0.02468,0.00041,0.15618,0.94604,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
