epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,586.113,1.49565,1.1799,0.39534,1.45057,1.9033,0.94366,0.94158,0.96693,0.72661,0.9454,0.94402,0.96963,0.95071,0.99907,0.14935,0.04506,0.60863,1.52375,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722,0.00998165,0.00332722
2,969.346,0.92911,0.33437,0.16875,0.63339,1.3933,0.95648,0.94515,0.97567,0.72302,0.95764,0.94847,0.9776,0.9712,1.10285,0.10327,0.05518,0.5505,1.79148,0.0198827,0.00662758,0.0198827,0.00662758,0.0198827,0.00662758,0.0198827,0.00662758
3,1285.94,0.89067,0.26137,0.12141,0.5814,1.35512,0.95694,0.9534,0.97674,0.74499,0.95741,0.95694,0.97924,0.97318,0.98911,0.10912,0.01561,0.50476,1.59294,0.0296848,0.00989494,0.0296848,0.00989494,0.0296848,0.00989494,0.0296848,0.00989494
4,1596.64,0.84825,0.22204,0.09796,0.54521,1.31712,0.96798,0.95448,0.98066,0.79441,0.96946,0.95657,0.98248,0.97825,0.81468,0.08227,0.00871,0.47034,1.32281,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1896.94,0.77812,0.17427,0.07827,0.49285,1.25514,0.96534,0.96113,0.98101,0.82282,0.96729,0.96327,0.98289,0.97831,0.81593,0.08356,0.0069,0.41215,1.28517,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2197.18,0.72864,0.1502,0.06857,0.45873,1.21328,0.98097,0.96489,0.98681,0.86905,0.98119,0.96631,0.98809,0.9851,0.65667,0.0618,0.00419,0.35835,1.17729,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2521.46,0.69134,0.13412,0.06111,0.44471,1.18007,0.98027,0.97349,0.98839,0.84003,0.98108,0.97558,0.98956,0.98684,0.6757,0.05775,0.00554,0.34072,1.18877,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2820.71,0.65954,0.11912,0.05503,0.42587,1.15209,0.98702,0.97749,0.99113,0.86136,0.98809,0.97853,0.99167,0.9892,0.68197,0.0523,0.00347,0.3308,1.17476,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3119.77,0.63661,0.11056,0.05195,0.41271,1.13462,0.98134,0.97953,0.99003,0.8774,0.98285,0.98029,0.99076,0.988,0.60932,0.05244,0.00296,0.3303,1.13046,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3419.68,0.61481,0.10375,0.0479,0.39995,1.12141,0.98546,0.9769,0.99114,0.90305,0.98298,0.98169,0.99192,0.98978,0.56349,0.05,0.0012,0.2986,1.09758,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
