epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.3,0.35686,0.08671,0.02055,0.23065,0.95767,0.99493,0.98628,0.99393,0.92532,0.99546,0.98717,0.99426,0.99345,0.4697,0.06088,0.00159,0.20052,1.00886,0.000555163,0.000555163,0.000555163
2,875.645,0.43644,0.08345,0.02945,0.27717,1.00031,0.99661,0.9862,0.99399,0.92678,0.99617,0.98729,0.99431,0.99304,0.45508,0.05678,0.00132,0.21952,1.00782,0.00108884,0.00108884,0.00108884
3,1280.6,0.47267,0.08801,0.03217,0.29729,1.02361,0.99597,0.98597,0.99374,0.92053,0.99619,0.98696,0.99418,0.9932,0.47131,0.06014,0.00162,0.21663,1.01373,0.0016005,0.0016005,0.0016005
4,1718.16,0.47572,0.08163,0.03318,0.30298,1.02952,0.99395,0.98506,0.99363,0.91515,0.99406,0.98696,0.99391,0.99278,0.54537,0.04713,0.00129,0.24442,1.07206,0.00156798,0.00156798,0.00156798
5,2197.94,0.47316,0.07845,0.03145,0.30395,1.02659,0.99489,0.98739,0.99401,0.91014,0.99426,0.99018,0.9942,0.9935,0.52376,0.04372,0.00135,0.22706,1.03651,0.00153497,0.00153497,0.00153497
6,2688.35,0.46336,0.07244,0.03021,0.29793,1.02001,0.99363,0.98998,0.99398,0.92413,0.99415,0.9905,0.99422,0.99341,0.46894,0.04079,0.00114,0.2242,1.00858,0.00150197,0.00150197,0.00150197
7,3165.11,0.45371,0.07048,0.02567,0.29108,1.00962,0.99501,0.98791,0.99397,0.92789,0.99589,0.98894,0.99417,0.9934,0.45837,0.04561,0.00217,0.20884,1.00313,0.00146896,0.00146896,0.00146896
8,3647.65,0.45104,0.06505,0.02539,0.28803,1.00571,0.99473,0.99076,0.99415,0.91858,0.99495,0.99102,0.99426,0.99353,0.46156,0.03967,0.00097,0.20577,1.00559,0.00143595,0.00143595,0.00143595
9,4120.45,0.43812,0.06569,0.02709,0.28464,0.99971,0.99465,0.98989,0.9941,0.92369,0.99489,0.99046,0.99422,0.99336,0.44936,0.03974,0.00123,0.21366,0.99873,0.00140295,0.00140295,0.00140295
10,4591.49,0.43773,0.05788,0.02424,0.28032,1.00376,0.99496,0.98843,0.99404,0.91473,0.99493,0.99041,0.99429,0.99349,0.53572,0.03547,0.0009,0.2323,1.04778,0.00136994,0.00136994,0.00136994
